rank,song,artist,year
1.0,Bad Day,daniel powter,2006
2.0,Temperature,sean paul,2006
3.0,Promiscuous,nelly furtado feat. timbaland,2006
4.0,You're Beautiful,james blunt,2006
5.0,Hips Don't Lie,shakira feat. wyclef jean,2006
6.0,Unwritten,natasha bedingfield,2006
7.0,Crazy,gnarls barkley,2006
8.0,Ridin',chamillionaire feat. krayzie bone,2006
9.0,Sexyback,justin timberlake,2006
10.0,Check on It,beyonce feat. slim thug,2006
11.0,Be without You,mary j. blige,2006
12.0,Grillz,"nelly feat. paul wall, ali and gipp",2006
13.0,Over My Head (Cable Car),the fray,2006
14.0,Me & U,cassie,2006
15.0,Buttons,the pussycat dolls feat. snoop dogg,2006
16.0,Run It!,chris brown,2006
17.0,So Sick,ne-yo,2006
18.0,It's Goin' Down,yung joc,2006
19.0,SOS,rihanna,2006
20.0,I Write Sins not Tragedies,panic! at the disco,2006
21.0,Move Along,the all-american rejects,2006
22.0,London Bridge,fergie,2006
23.0,Dani California,red hot chili peppers,2006
24.0,Snap Yo Fingers,lil jon feat. e-40 and sean paul of the youngbloodz,2006
25.0,"Lean Wit It, Rock Wit It",dem franchize boyz feat. lil peanut and charlay,2006
26.0,What Hurts the Most,rascal flatts,2006
27.0,How to Save a Life,the fray,2006
28.0,Unfaithful,rihanna,2006
29.0,Chasing Cars,snow patrol,2006
30.0,Lips of an Angel,hinder,2006
31.0,Everytime We Touch,cascada,2006
32.0,Ain't no Other Man,christina aguilera,2006
33.0,"Dance, Dance",fall out boy,2006
34.0,Gold Digger,kanye west feat. jamie foxx,2006
35.0,Money Maker,ludacris feat. pharrell,2006
36.0,Ms. New Booty,bubba sparxxx feat. ying yang twins and mr. collipark,2006
37.0,(When You Gonna) Give It Up To Me,sean paul feat. keyshia cole,2006
38.0,Photograph,nickelback,2006
39.0,Because of You,kelly clarkson,2006
40.0,Stickwitu,the pussycat dolls,2006
41.0,I'n N Luv (Wit a Stripper),t-pain feat. mike jones,2006
42.0,My Humps,the black eyed peas,2006
43.0,Where'd You Go,fort minor feat. holly brook,2006
44.0,Yo (Excuse Me Miss),chris brown,2006
45.0,Walk Away,kelly clarkson,2006
46.0,Laffy Taffy,d4l,2006
47.0,What you Know,t.i.,2006
48.0,Dirty Little Secret,the all-american rejects,2006
49.0,Savin' Me,nickelback,2006
50.0,Don't Forget About Us,mariah carey,2006
51.0,Sexy Love,ne-yo,2006
52.0,U and Dat,e-40 feat. t-pain and kandi girl,2006
53.0,Far Away,nickelback,2006
54.0,What's Left of Me,nick lachey,2006
55.0,So What,field mob feat. ciara,2006
56.0,Do it to It,cherish feat. sean paul of the youngbloodz,2006
57.0,Black Horse & the Cherry Tree,kt tunstall,2006
58.0,There it Go! (The Whistle Song),juelz santana,2006
59.0,Shoulder Lean!,young dro feat. t.i.,2006
60.0,Unpredictable,jamie foxx feat. ludacris,2006
61.0,My Love,justin timberlake feat. t.i.,2006
62.0,Shake That,eminem feat. nate dogg,2006
63.0,Pullin' Me Back,chingy feat. tyrese,2006
64.0,Bossy,kelis feat. too $hort,2006
65.0,Chain Hang Low,jibbs,2006
66.0,Smack That,akon feat. eminem,2006
67.0,One Wish,ray j,2006
68.0,Sugar We're Goin' Down,fall out boy,2006
69.0,Gimme That,chris brown feat. lil' wayne,2006
70.0,I Know You See It,yung joc feat. brandy 'ms. b.' hambrick,2006
71.0,Who Says you can't Go Home,bon jovi,2006
72.0,Too Little Too Late,jojo,2006
73.0,Touch It,busta rhymes,2006
74.0,Rompe,daddy yankee,2006
75.0,Deja Vu,beyonce feat. jay-z,2006
76.0,Life is a Highway,rascal flatts,2006
77.0,Call me When You're Sober,evanescence,2006
78.0,"Jesus, take the Wheel",carrie underwood,2006
79.0,Show Stopper,danity kane,2006
80.0,Get Up,ciara feat. chamillionaire,2006
81.0,We be Burnin',sean paul,2006
82.0,Hate Me,blue october,2006
83.0,You and Me,lifehouse,2006
84.0,Beep,the pussycat dolls feat. will.i.am,2006
85.0,I Think They Like Me,"dem franchize boyz feat. jermaine dupri, da brat and bow wow",2006
86.0,Say Goodbye,chris brown,2006
87.0,Waiting on the World to Change,john mayer,2006
88.0,Soul Survivor,young jeezy feat. akon,2006
89.0,Pump It,the black eyed peas,2006
90.0,When I'm Gone,eminem,2006
91.0,Hung Up,madonna,2006
92.0,Stay Fly,three 6 mafia feat. young buck and eightball and mjg,2006
93.0,Love,keyshia cole,2006
94.0,When You're Mad,ne-yo,2006
95.0,Why You Wanna,t.i.,2006
96.0,Stupid Girls,pink,2006
97.0,Feel Good Inc,gorillaz,2006
98.0,I'm Sprung,t-pain,2006
99.0,Do I Make you Proud,taylor hicks,2006
100.0,For You I Will (Condience),teddy geiger,2006
1.0,Irreplaceable,beyonce,2007
2.0,Umbrella,rihanna feat. jay-z,2007
3.0,The Sweet Escape,gwen stefani feat. akon,2007
4.0,Big Girls Don't Cry,fergie,2007
5.0,Buy U A Drank,t-pain feat. yung joc,2007
6.0,Before He Cheats,carrie underwood,2007
7.0,Hey There Delilah,plain white t's,2007
8.0,I Wanna Love You,akon feat. snoop dogg,2007
9.0,Say It Right,nelly furtado,2007
10.0,Glamorous,fergie feat. ludacris,2007
11.0,Don't Matter,akon,2007
12.0,Girlfriend,avril lavigne,2007
13.0,Makes Me Wonder,maroon 5,2007
14.0,Party Like A Rockstar,shop boyz,2007
15.0,Smack That,akon feat. eminem,2007
16.0,This Is Why I'm Hot,mims,2007
17.0,It's Not Over,daughtry,2007
18.0,The Way I Are,timbaland feat. keri hilson,2007
19.0,Fergalicious,fergie,2007
20.0,Crank That (Soulja Boy),soulja boy tell'em,2007
21.0,Give It To Me,timbaland feat. nelly furtado & justin timberlake,2007
22.0,What Goes Around…Comes Around,justin timberlake,2007
23.0,Cupid's Chokehold/Breakfast In America,gym class heroes feat. patrick stump,2007
24.0,How To Save A Life,the fray,2007
25.0,Home,daughtry,2007
26.0,My Love,justin timberlake feat. t.i.,2007
27.0,Stronger,kanye west,2007
28.0,We Fly High,jim jones,2007
29.0,U + Ur Hand,pink,2007
30.0,Walk It Out,unk,2007
31.0,Beautiful Girls,sean kingston,2007
32.0,"This Ain't A Scene, It's An Arms Race",fall out boy,2007
33.0,Bartender,t-pain feat. akon,2007
34.0,"Pop, Lock & Drop It",huey,2007
35.0,Runaway Love,ludacris feat. mary j. blige,2007
36.0,Rockstar,nickelback,2007
37.0,Thnks Fr Th Mmrs,fall out boy,2007
38.0,What I've Done,linkin park,2007
39.0,Summer Love,justin timberlake,2007
40.0,You,lloyd feat. lil' wayne,2007
41.0,Wait For You,elliott yamin,2007
42.0,Last Night,diddy feat. keyshia cole,2007
43.0,Make It Rain,fat joe feat. lil wayne,2007
44.0,Make Me Better,fabolous feat. ne-yo,2007
45.0,Ice Box,omarion,2007
46.0,Lips Of An Angel,hinder,2007
47.0,Waiting On The World To Change,john mayer,2007
48.0,Lost Without U,robin thicke,2007
49.0,I'm A Flirt,r. kelly or bow wow (feat. t.i. & t-pain),2007
50.0,If Everyone Cared,nickelback,2007
51.0,Get It Shawty,lloyd,2007
52.0,Face Down,the red jumpsuit apparatus,2007
53.0,The Way I Live,baby boy da prince feat. lil boosie,2007
54.0,Shortie Like Mine,bow wow feat. chris brown & johnta austin,2007
55.0,It Ends Tonight,the all-american rejects,2007
56.0,A Bay Bay,hurricane chris,2007
57.0,Because Of You,ne-yo,2007
58.0,I Tried,bone thugs-n-harmony feat. akon,2007
59.0,Welcome To The Black Parade,my chemical romance,2007
60.0,Shawty,plies feat. t-pain,2007
61.0,Chasing Cars,snow patrol,2007
62.0,Beautiful Liar,beyonce & shakira,2007
63.0,Sexyback,justin timberlake,2007
64.0,Keep Holding On,avril lavigne,2007
65.0,Let It Go,keyshia cole feat. missy elliott & lil kim,2007
66.0,Apologize,timbaland feat. onerepublic,2007
67.0,Bubbly,colbie caillat,2007
68.0,Like A Boy,ciara,2007
69.0,Who Knew,pink,2007
70.0,Never Again,kelly clarkson,2007
71.0,Promise,ciara,2007
72.0,Bed,j. holiday,2007
73.0,Throw Some D's,rich boy feat. polow da don,2007
74.0,Rehab,amy winehouse,2007
75.0,Big Things Poppin' (Do It),t.i.,2007
76.0,No One,alicia keys,2007
77.0,The Great Escape,boys like girls,2007
78.0,2 Step,unk,2007
79.0,Walk Away (Remember Me),paula deanda feat. the dey,2007
80.0,Go Getta,young jeezy feat. r. kelly,2007
81.0,Here (In Your Arms),hellogoodbye,2007
82.0,On The Hotline,pretty ricky,2007
83.0,Wind It Up,gwen stefani,2007
84.0,Cyclone,baby bash feat. t-pain,2007
85.0,Break It Off,rihanna & sean paul,2007
86.0,First Time,lifehouse,2007
87.0,Ayo Technology,50 cent feat. justin timberlake & timbaland,2007
88.0,Outta My System,bow wow feat. t-pain & johnta austin,2007
89.0,Teardrops On My Guitar,taylor swift,2007
90.0,Shut Up And Drive,rihanna,2007
91.0,Snow ((Hey Oh)),red hot chili peppers,2007
92.0,Money Maker,ludacris feat. pharrell,2007
93.0,Kiss Kiss,chris brown feat. t-pain,2007
94.0,Far Away,nickelback,2007
95.0,Rock Yo Hips,crime mob feat. lil scrappy,2007
96.0,Lovestoned,justin timberlake,2007
97.0,Better Than Me,hinder,2007
98.0,Paralyzer,finger eleven,2007
99.0,That's That,snoop dogg feat. r. kelly,2007
100.0,Same Girl,r. kelly and usher,2007
1.0,Low,flo rida feat. t-pain,2008
2.0,Bleeding Love,leona lewis,2008
3.0,No One,alicia keys,2008
4.0,Lollipop,lil wayne feat. static major,2008
5.0,Apologize,timbaland feat. onerepublic,2008
6.0,No Air,jordin sparks duet with chris brown,2008
7.0,Love Song,sara bareilles,2008
8.0,Love In This Club,usher feat. young jeezy,2008
9.0,With You,chris brown,2008
10.0,Forever,chris brown,2008
11.0,Sexy Can I,ray j and yung berg,2008
12.0,Take A Bow,rihanna,2008
13.0,Viva La Vida,coldplay,2008
14.0,I Kissed A Girl,katy perry,2008
15.0,Whatever You Like,t.i.,2008
16.0,Disturbia,rihanna,2008
17.0,Don't Stop the Music,rihanna,2008
18.0,Pocketful of Sunshine,natasha bedingfield,2008
19.0,Kiss Kiss,chris brown feat. t-pain,2008
20.0,Closer,ne-yo,2008
21.0,Bubbly,colbie caillat,2008
22.0,Touch My Body,mariah carey,2008
23.0,4 Minutes,madonna feat. justin timberlake,2008
24.0,So What,pink,2008
25.0,Paralyzer,finger eleven,2008
26.0,Clumsy,fergie,2008
27.0,I'm Yours,jason mraz,2008
28.0,Leavin',jesse mccartney,2008
29.0,Dangerous,kardinal offishall feat. akon,2008
30.0,Tattoo,jordin sparks,2008
31.0,See You Again,miley cyrus,2008
32.0,Shake It,metro station,2008
33.0,Stop And Stare,onerepublic,2008
34.0,Take You There,sean kingston,2008
35.0,Paper Planes,m.i.a.,2008
36.0,Hot N Cold,katy perry,2008
37.0,Live Your Life,t.i. feat. rihanna,2008
38.0,Bust It Baby Part 2,plies feat. ne-yo,2008
39.0,American Boy,estelle feat. kanye west,2008
40.0,Got Money,lil wayne feat. t-pain,2008
41.0,Our Song,taylor swift,2008
42.0,Damaged,danity kane,2008
43.0,A Milli,lil wayne,2008
44.0,Sorry,buckcherry,2008
45.0,Independent,webbie feat. lil' phat & lil' boosie,2008
46.0,Can't Believe It,t-pain feat. lil wayne,2008
47.0,Like You'll Never See Me Again,alicia keys,2008
48.0,Teardrops On My Guitar,taylor swift,2008
49.0,When I Grow Up,the pussycat dolls,2008
50.0,Sensual Seduction,snoop dogg,2008
51.0,What You Got,colby o'donis feat. akon,2008
52.0,It's Not My Time,3 doors down,2008
53.0,Better In Time,leona lewis,2008
54.0,Crank That (Soulja Boy),soulja boy tell'em,2008
55.0,Shadow Of The Day,linkin park,2008
56.0,Sweetest Girl (Dollar Bill),"wyclef jean feat. akon, lil wayne & niia",2008
57.0,Miss Independent,ne-yo,2008
58.0,Fall For You,secondhand serenade,2008
59.0,In The Ayer,flo rida feat. will.i.am,2008
60.0,Say,john mayer,2008
61.0,One Step at A Time,jordin sparks,2008
62.0,Hate That I Love You,rihanna feat. ne-yo,2008
63.0,Superstar,lupe fiasco feat. matthew santos,2008
64.0,Suffocate,j. holiday,2008
65.0,Let It Rock,kevin rudolf feat. lil wayne,2008
66.0,Get Like Me,david banner feat. chris brown,2008
67.0,Realize,colbie caillat,2008
68.0,Put On,young jeezy feat. kanye west,2008
69.0,The Time Of My Life,david cook,2008
70.0,Lolli Lolli (Pop That Body),"three 6 mafia feat. project pat, young d and superpower",2008
71.0,Cyclone,baby bash feat. t-pain,2008
72.0,Love Like This,natasha bedingfield feat. sean kingston,2008
73.0,Burnin' Up,jonas brothers,2008
74.0,Love Lockdown,kanye west,2008
75.0,I Luv Your Girl,the-dream,2008
76.0,Crush,david archuleta,2008
77.0,Hypnotized,plies feat. akon,2008
78.0,Big Girls Don't Cry,fergie,2008
79.0,Good Life,kanye west feat. t-pain,2008
80.0,Womanizer,britney spears,2008
81.0,Love Story,taylor swift,2008
82.0,Just Fine,mary j. blige,2008
83.0,Piece Of Me,britney spears,2008
84.0,The Boss,rick ross feat. t-pain,2008
85.0,All Summer Long,kid rock,2008
86.0,Can't Help But Wait,trey songz,2008
87.0,In Love With A Girl,gavin degraw,2008
88.0,My Life,the game feat. lil wayne,2008
89.0,I Remember,keyshia cole,2008
90.0,Flashing Lights,kanye west feat. dwele,2008
91.0,Mrs. Officer,lil wayne feat. bobby valentino & kidd kidd,2008
92.0,7 Things,miley cyrus,2008
93.0,You're Gonna Miss This,trace adkins,2008
94.0,Love Remains The Same,gavin rossdale,2008
95.0,Feels Like Tonight,daughtry,2008
96.0,The Way I Are,timbaland feat. keri hilson,2008
97.0,Addicted,saving abel,2008
98.0,Into The Night,santana feat. chad kroeger,2008
99.0,Heaven Sent,keyshia cole,2008
100.0,She Got It,2 pistols feat. t-pain and tay dizm,2008
1.0,Boom Boom Pow,the black eyed peas,2009
2.0,Poker Face,lady gaga,2009
3.0,Just Dance,lady gaga feat. colby o'donis,2009
4.0,I Gotta Feeling,the black eyed peas,2009
5.0,Love Story,taylor swift,2009
6.0,Right Round,flo rida,2009
7.0,I'm Yours,jason mraz,2009
8.0,Single Ladies (Put A Ring On It),beyonce,2009
9.0,Heartless,kanye west,2009
10.0,Gives You Hell,the all-american rejects,2009
11.0,You Belong With Me,taylor swift,2009
12.0,Dead And Gone,t.i. feat. justin timberlake,2009
13.0,You Found Me,the fray,2009
14.0,Use Somebody,kings of leon,2009
15.0,Knock You Down,keri hilson feat. kanye west and ne-yo,2009
16.0,Blame It,jamie foxx feat. t-pain,2009
17.0,I Know You Want Me (Calle Ocho),pitbull,2009
18.0,Live Your Life,t.i. feat. rihanna,2009
19.0,Kiss Me Thru The Phone,soulja boy tell 'em feat. sammie,2009
20.0,Down,jay sean feat. lil wayne,2009
21.0,The Climb,miley cyrus,2009
22.0,Best I Ever Had,drake,2009
23.0,My Life Would Suck Without You,kelly clarkson,2009
24.0,Halo,beyonce,2009
25.0,Hot n Cold,katy perry,2009
26.0,Second Chance,shinedown,2009
27.0,Circus,britney spears,2009
28.0,Day 'n' Nite,kid cudi,2009
29.0,Party in the U.S.A.,miley cyrus,2009
30.0,Don't Trust Me,3oh!3,2009
31.0,Run This Town,"jay-z, rihanna and kanye west",2009
32.0,Let It Rock,kevin rudolf feat. lil wayne,2009
33.0,Fire Burning,sean kingston,2009
34.0,Whatcha Say,jason derulo,2009
35.0,Lovegame,lady gaga,2009
36.0,Waking Up In Vegas,katy perry,2009
37.0,Birthday Sex,jeremih,2009
38.0,Sober,pink,2009
39.0,Womanizer,britney spears,2009
40.0,Whatever You Like,t.i.,2009
41.0,Obsessed,mariah carey,2009
42.0,Mad,ne-yo,2009
43.0,Good Girls Go Bad,cobra starship feat. leighton meester,2009
44.0,Love Lockdown,kanye west,2009
45.0,So What,pink,2009
46.0,Hotel Room Service,pitbull,2009
47.0,Crack A Bottle,"eminem, dr. dre and 50 cent",2009
48.0,If I Were A Boy,beyonce,2009
49.0,Turning Me On,keri hilson feat. lil wayne,2009
50.0,I Hate This Part,the pussycat dolls,2009
51.0,Gotta Be Somebody,nickelback,2009
52.0,Please Don't Leave Me,pink,2009
53.0,Paparazzi,lady gaga,2009
54.0,Beautiful,akon feat. colby o'donis and kardinal offishall,2009
55.0,Viva la Vida,coldplay,2009
56.0,Right Now (Na Na Na),akon,2009
57.0,Battlefield,jordin sparks,2009
58.0,Sugar,flo rida feat. wynter,2009
59.0,Miss Independent,ne-yo,2009
60.0,Fireflies,owl city,2009
61.0,New Divide,linkin park,2009
62.0,Empire State Of Mind,jay-z + alicia keys,2009
63.0,No Surprise,daughtry,2009
64.0,She Wolf,shakira,2009
65.0,Break Up,mario feat. gucci mane and sean garrett,2009
66.0,Sweet Dreams,beyonce,2009
67.0,Every Girl,young money,2009
68.0,Fallin' For You,colbie caillat,2009
69.0,Untouched,the veronicas,2009
70.0,If Today Was Your Last Day,nickelback,2009
71.0,Throw It In The Bag,fabolous feat. the-dream,2009
72.0,Love Drunk,boys like girls,2009
73.0,I Love College,asher roth,2009
74.0,If U Seek Amy,britney spears,2009
75.0,Big Green Tractor,jason aldean,2009
76.0,White Horse,taylor swift,2009
77.0,Disturbia,rihanna,2009
78.0,21 Guns,green day,2009
79.0,Turn My Swag On,soulja boy tell'em,2009
80.0,Rockin' That Thang,the-dream,2009
81.0,Chicken Fried,zac brown band,2009
82.0,Diva,beyonce,2009
83.0,Replay,iyaz,2009
84.0,Then,brad paisley,2009
85.0,Her Diamonds,rob thomas,2009
86.0,How Do You Sleep?,jesse mccartney feat. ludacris,2009
87.0,3,britney spears,2009
88.0,Forever,"drake feat. kanye west, lil wayne and eminem",2009
89.0,One Time,justin bieber,2009
90.0,I Run To You,lady antebellum,2009
91.0,I Do Not Hook Up,kelly clarkson,2009
92.0,Green Light,john legend feat. andre 3000,2009
93.0,People Are Crazy,billy currington,2009
94.0,Whatever It Is,zac brown band,2009
95.0,Already Gone,kelly clarkson,2009
96.0,Goodbye,kristinia debarge,2009
97.0,Say Hey (I Love You),michael franti and spearhead feat. cherine anderson,2009
98.0,Pop Champagne,jim jones and ron browz feat. juelz santana,2009
99.0,Pretty Wings,maxwell,2009
100.0,Never Say Never,the fray,2009
1.0,TiK ToK,ke$ha,2010
2.0,Need You Now,lady antebellum,2010
3.0,"Hey, Soul Sister",train,2010
4.0,California Gurls,katy perry feat. snoop dogg,2010
5.0,OMG,usher feat. will.i.am,2010
6.0,Airplanes,b.o.b feat. hayley williams,2010
7.0,Love The Way You Lie,eminem feat. rihanna,2010
8.0,Bad Romance,lady gaga,2010
9.0,Dynamite,taio cruz,2010
10.0,Break Your Heart,taio cruz feat. ludacris,2010
11.0,Nothin' On You,b.o.b feat. bruno mars,2010
12.0,I Like It,enrique iglesias feat. pitbull,2010
13.0,Bedrock,young money feat. lloyd,2010
14.0,In My Head,jason derulo,2010
15.0,Rude Boy,rihanna,2010
16.0,Telephone,lady gaga feat. beyonce,2010
17.0,Teenage Dream,katy perry,2010
18.0,Just The Way You Are,bruno mars,2010
19.0,Cooler Than Me,mike posner,2010
20.0,Imma Be,black eyed peas,2010
21.0,Empire State of Mind,jay-z and alicia keys,2010
22.0,DJ Got Us Fallin' in Love,usher feat. pitbull,2010
23.0,Billionaire,travie mccoy feat. bruno mars,2010
24.0,Not Afraid,eminem,2010
25.0,Replay,iyaz,2010
26.0,Sexy Chick,david guetta feat. akon,2010
27.0,Breakeven,the script,2010
28.0,Your Love Is My Drug,ke$ha,2010
29.0,I Gotta Feeling,black eyed peas,2010
30.0,Fireflies,owl city,2010
31.0,Say Aah,trey songz feat. fabolous,2010
32.0,Find Your Love,drake,2010
33.0,Alejandro,lady gaga,2010
34.0,Ridin' Solo,jason derulo,2010
35.0,Just A Dream,nelly,2010
36.0,How Low,ludacris,2010
37.0,Like A G6,far east movement feat. the cataracs and dev,2010
38.0,Carry Out,timbaland feat. justin timberlake,2010
39.0,Haven't Met You Yet,michael buble,2010
40.0,Club Can't Handle Me,flo rida feat. david guetta,2010
41.0,Down,jay sean feat. lil wayne,2010
42.0,Bulletproof,la roux,2010
43.0,Whatcha Say,jason derulo,2010
44.0,Baby,justin bieber feat. ludacris,2010
45.0,Whataya Want From Me,adam lambert,2010
46.0,Mine,taylor swift,2010
47.0,Only Girl (In The World),rihanna,2010
48.0,Live Like We're Dying,kris allen,2010
49.0,Hard,rihanna feat. jeezy,2010
50.0,Young Forever,jay-z and mr. hudson,2010
51.0,Blah Blah Blah,ke$ha feat. 3oh!3,2010
52.0,Bottoms Up,trey songz feat. nicki minaj,2010
53.0,Do You Remember,jay sean feat. sean paul & lil jon,2010
54.0,All The Right Moves,onerepublic,2010
55.0,According To You,orianthi,2010
56.0,My Chick Bad,ludacris feat. nicki minaj,2010
57.0,You Belong With Me,taylor swift,2010
58.0,Meet Me Halfway,black eyed peas,2010
59.0,Take It Off,ke$ha,2010
60.0,Over,drake,2010
61.0,Animal,neon trees,2010
62.0,Misery,maroon 5,2010
63.0,Magic,b.o.b feat. rivers cuomo,2010
64.0,Paparazzi,lady gaga,2010
65.0,Tie Me Down,new boyz feat. ray j,2010
66.0,Your Love,nicki minaj,2010
67.0,Party In The U.S.A.,miley cyrus,2010
68.0,Deuces,chris brown feat. tyga and kevin mccall,2010
69.0,3,britney spears,2010
70.0,Impossible,shontelle,2010
71.0,Forever,"drake feat. kanye west, lil wayne and eminem",2010
72.0,Two Is Better Than One,boys like girls feat. taylor swift,2010
73.0,My First Kiss,3oh!3 feat. ke$ha,2010
74.0,Already Gone,kelly clarkson,2010
75.0,Rock That Body,black eyed peas,2010
76.0,Secrets,onerepublic,2010
77.0,Naturally,selena gomez and the scene,2010
78.0,Un-Thinkable (I'm Ready),alicia keyes,2010
79.0,All I Do Is Win,"dj khaled feat. t-pain, ludacris, snoop dogg and rick ross",2010
80.0,I Made It (Cash Money Heroes),"kevin rudolf feat. birdman, jay sean, & lil wayne",2010
81.0,Stuck Like Glue,sugarland,2010
