rank,song,artist,year
18.0,Everything I Wanted,billie eilish,2020
19.0,Roses,saint jhn,2020
20.0,Watermelon Sugar,harry styles,2020
21.0,Before You Go,lewis capaldi,2020
22.0,Falling,trevor daniel,2020
23.0,"10,000 Hours",dan + shay & justin bieber,2020
24.0,WAP,cardi b featuring megan thee stallion,2020
25.0,Ballin',mustard & roddy ricch,2020
26.0,Hot Girl Bummer,blackbear,2020
27.0,Blueberry Faygo,lil mosey,2020
28.0,Heartless,the weeknd,2020
29.0,BOP,dababy,2020
30.0,Lose You To Love Me,selena gomez,2020
31.0,Good As Hell,lizzo,2020
32.0,Toosie Slide,drake,2020
33.0,Break My Heart,dua lipa,2020
34.0,Chasin' You,morgan wallen,2020
35.0,Savage Love (Laxed - Siren Beat),jawsh 685 x jason derulo,2020
36.0,No Guidance,chris brown featuring drake,2020
37.0,My Oh My,camila cabello featuring dababy,2020
38.0,Dynamite,bts,2020
39.0,Go Crazy,chris brown & young thug,2020
40.0,High Fashion,roddy ricch featuring mustard,2020
41.0,Laugh Now Cry Later,drake featuring lil durk,2020
42.0,Woah,lil baby,2020
43.0,Death Bed,powfu featuring beabadoobee,2020
44.0,Senorita,shawn mendes & camila cabello,2020
45.0,HIGHEST IN THE ROOM,travis scott,2020
46.0,Bad Guy,billie eilish,2020
47.0,Mood,24kgoldn featuring iann dior,2020
48.0,Rain On Me,lady gaga & ariana grande,2020
49.0,For The Night,pop smoke featuring lil baby & dababy,2020
50.0,RITMO (Bad Boys For Life),black eyed peas x j balvin,2020
51.0,Heart On Ice,rod wave,2020
52.0,Nobody But You,blake shelton duet with gwen stefani,2020
53.0,Trampoline,shaed,2020
54.0,Come & Go,juice wrld x marshmello,2020
55.0,Truth Hurts,lizzo,2020
56.0,If The World Was Ending,jp saxe featuring julia michaels,2020
57.0,We Paid,lil baby & 42 dugg,2020
58.0,Yummy,justin bieber,2020
59.0,One Man Band,old dominion,2020
60.0,Got What I Got,jason aldean,2020
61.0,Sunday Best,surfaces,2020
62.0,Godzilla,eminem featuring juice wrld,2020
63.0,Bandit,juice wrld & youngboy never broke again,2020
64.0,Party Girl,staysolidrocky,2020
65.0,Die From A Broken Heart,maddie & tae,2020
66.0,Popstar,dj khaled featuring drake,2020
67.0,All I Want For Christmas Is You,mariah carey,2020
68.0,One Of Them Girls,lee brice,2020
69.0,Hard To Forget,sam hunt,2020
70.0,One Margarita,luke bryan,2020
71.0,Panini,lil nas x,2020
72.0,Hot,young thug featuring gunna,2020
73.0,I Hope You're Happy Now,carly pearce & lee brice,2020
74.0,Emotionally Scarred,lil baby,2020
75.0,Suicidal,ynw melly & juice wrld,2020
76.0,The Bigger Picture,lil baby,2020
77.0,Only Human,jonas brothers,2020
78.0,The Woo,pop smoke featuring 50 cent & roddy ricch,2020
79.0,Sum 2 Prove,lil baby,2020
80.0,Stuck With U,ariana grande & justin bieber,2020
81.0,Mood Swings,pop smoke featuring lil tjay,2020
82.0,You Should Be Sad,halsey,2020
83.0,Dior,pop smoke,2020
84.0,Supalonely,benee featuring gus dapperton,2020
85.0,Even Though I'm Leaving,luke combs,2020
86.0,The Scotts,"the scotts, travis scott & kid cudi",2020
87.0,Juicy,doja cat & tyga,2020
88.0,Be Like That,kane brown with swae lee & khalid,2020
89.0,Homesick,kane brown,2020
90.0,Rags2Riches,rod wave featuring atr son son,2020
91.0,Bluebird,miranda lambert,2020
92.0,Wishing Well,juice wrld,2020
93.0,Does To Me,luke combs featuring eric church,2020
94.0,P*$$y Fairy (OTW),jhene aiko,2020
95.0,ily,surf mesa featuring emilee,2020
96.0,More Than My Hometown,morgan wallen,2020
97.0,Lovin' On You,luke combs,2020
98.0,Said Sum,moneybagg yo,2020
99.0,Slide,h.e.r. featuring yg,2020
100.0,Walk Em Down,nle choppa featuring roddy ricch,2020
1.0,Levitating,dua lipa,2021
2.0,Save Your Tears,the weeknd & ariana grande,2021
3.0,Blinding Lights,the weeknd,2021
4.0,Mood,24kgoldn featuring iann dior,2021
5.0,Good 4 U,olivia rodrigo,2021
6.0,Kiss Me More,doja cat featuring sza,2021
7.0,Leave The Door Open,silk sonic (bruno mars & anderson .paak),2021
8.0,Drivers License,olivia rodrigo,2021
9.0,Montero (Call Me By Your Name),lil nas x,2021
10.0,Peaches,justin bieber featuring daniel caesar & giveon,2021
11.0,Butter,bts,2021
12.0,Stay,the kid laroi & justin bieber,2021
13.0,Deja Vu,olivia rodrigo,2021
14.0,Positions,ariana grande,2021
15.0,Bad Habits,ed sheeran,2021
16.0,Heat Waves,glass animals,2021
17.0,Without You,the kid laroi,2021
18.0,Forever After All,luke combs,2021
19.0,Go Crazy,chris brown & young thug,2021
20.0,Astronaut In The Ocean,masked wolf,2021
21.0,34+35,ariana grande feat. doja cat & megan thee stallion,2021
22.0,What You Know Bout Love,pop smoke,2021
23.0,My Ex's Best Friend,machine gun kelly x blackbear,2021
24.0,Industry Baby,lil nas x & jack harlow,2021
25.0,Therefore I Am,billie eilish,2021
26.0,Up,cardi b,2021
27.0,Fancy Like,walker hayes,2021
28.0,Dakiti,bad bunny & jhay cortez,2021
29.0,Best Friend,saweetie featuring doja cat,2021
30.0,Rapstar,polo g,2021
31.0,Heartbreak Anniversary,giveon,2021
32.0,For The Night,pop smoke featuring lil baby & dababy,2021
33.0,Calling My Phone,lil tjay featuring 6lack,2021
34.0,Beautiful Mistakes,maroon 5 featuring megan thee stallion,2021
35.0,Holy,justin bieber featuring chance the rapper,2021
36.0,On Me,lil baby,2021
37.0,You Broke Me First.,tate mcrae,2021
38.0,Traitor,olivia rodrigo,2021
39.0,Back In Blood,pooh shiesty featuring lil durk,2021
40.0,I Hope,gabby barrett featuring charlie puth,2021
41.0,Dynamite,bts,2021
42.0,Wockesha,moneybagg yo,2021
43.0,You Right,doja cat & the weeknd,2021
44.0,Beat Box,spotemgottem featuring pooh shiesty or dababy,2021
45.0,Laugh Now Cry Later,drake featuring lil durk,2021
46.0,Need To Know,doja cat,2021
47.0,Wants And Needs,drake featuring lil baby,2021
48.0,Way 2 Sexy,drake featuring future & young thug,2021
49.0,Telepatia,kali uchis,2021
50.0,Whoopty,cj,2021
51.0,Lemonade,internet money & gunna featuring don toliver & nav,2021
52.0,Good Days,sza,2021
53.0,Starting Over,chris stapleton,2021
54.0,Body,megan thee stallion,2021
55.0,Willow,taylor swift,2021
56.0,Bang!,ajr,2021
57.0,Better Together,luke combs,2021
58.0,You're Mines Still,yung bleu featuring drake,2021
59.0,Every Chance I Get,dj khaled featuring lil baby & lil durk,2021
60.0,Essence,wizkid featuring justin bieber & tems,2021
61.0,Chasing After You,ryan hurd with maren morris,2021
62.0,The Good Ones,gabby barrett,2021
63.0,Leave Before You Love Me,marshmello x jonas brothers,2021
64.0,Glad You Exist,dan + shay,2021
65.0,Lonely,justin bieber & benny blanco,2021
66.0,Beggin',maneskin,2021
67.0,Streets,doja cat,2021
68.0,What's Next,drake,2021
69.0,Famous Friends,chris young + kane brown,2021
70.0,Lil Bit,nelly & florida georgia line,2021
71.0,Thot Shit,megan thee stallion,2021
72.0,Late At Night,roddy ricch,2021
73.0,Kings & Queens,ava max,2021
74.0,Anyone,justin bieber,2021
75.0,Track Star,mooski,2021
76.0,Time Today,moneybagg yo,2021
77.0,Cry Baby,megan thee stallion featuring dababy,2021
78.0,All I Want For Christmas Is You,mariah carey,2021
79.0,No More Parties,coi leray featuring lil durk,2021
80.0,What's Your Country Song,thomas rhett,2021
81.0,One Too Many,keith urban duet with p!nk,2021
82.0,Arcade,duncan laurence,2021
83.0,Yonaguni,bad bunny,2021
84.0,Good Time,niko moon,2021
85.0,If I Didn't Love You,jason aldean & carrie underwood,2021
86.0,Knife Talk,drake featuring 21 savage & project pat,2021
87.0,pov,ariana grande,2021
88.0,Just The Way,parmalee x blanco brown,2021
89.0,Take My Breath,the weeknd,2021
90.0,We're Good,dua lipa,2021
91.0,Hell Of A View,eric church,2021
92.0,Rockin' Around The Christmas Tree,brenda lee,2021
93.0,Put Your Records On,ritt momney,2021
94.0,Happier Than Ever,billie eilish,2021
95.0,Single Saturday Night,cole swindell,2021
96.0,Things A Man Oughta Know,lainey wilson,2021
97.0,Throat Baby (Go Baby),brs kash,2021
98.0,Tombstone,rod wave,2021
99.0,Drinkin' Beer. Talkin' God. Amen.,chase rice featuring florida georgia line,2021
100.0,Todo de Ti,rauw alejandro,2021
1.0,Last Night,morgan wallen,2023
2.0,Flowers,miley cyrus,2023
3.0,Kill Bill,sza,2023
4.0,Anti-Hero,taylor swift,2023
5.0,Creepin',"metro boomin, the weeknd & 21 savage",2023
6.0,Calm Down,rema & selena gomez,2023
7.0,Die For You,the weeknd & ariana grande,2023
8.0,Fast Car,luke combs,2023
9.0,Snooze,sza,2023
10.0,I'm Good (Blue),david guetta & bebe rexha,2023
11.0,Unholy,sam smith & kim petras,2023
12.0,You Proof,morgan wallen,2023
13.0,Something In The Orange,zach bryan,2023
14.0,Rich Flex,drake & 21 savage,2023
15.0,As It Was,harry styles,2023
16.0,Rock And A Hard Place,bailey zimmerman,2023
17.0,Under The Influence,chris brown,2023
18.0,Cruel Summer,taylor swift,2023
19.0,Thinkin' Bout Me,morgan wallen,2023
20.0,"Boy's A Liar, Pt. 2",pinkpantheress & ice spice,2023
21.0,Favorite Song,toosii,2023
22.0,Thought You Should Know,morgan wallen,2023
23.0,Thank God,kane brown with katelyn brown,2023
24.0,Sure Thing,miguel,2023
25.0,All My Life,lil durk featuring j. cole,2023
26.0,Ella Baila Sola,eslabon armado x peso pluma,2023
27.0,Karma,taylor swift featuring ice spice,2023
28.0,Just Wanna Rock,lil uzi vert,2023
29.0,Cuff It,beyoncé,2023
30.0,Vampire,olivia rodrigo,2023
31.0,Fukumean,gunna,2023
32.0,Lavender Haze,taylor swift,2023
33.0,Players,coi leray,2023
34.0,Need A Favor,jelly roll,2023
35.0,Dance The Night,dua lipa,2023
36.0,Love You Anyway,luke combs,2023
37.0,One Thing At A Time,morgan wallen,2023
38.0,Superhero (Heroes & Villains),"metro boomin, future & chris brown",2023
39.0,Bad Habit,steve lacy,2023
40.0,La Bebe,yng lvcas x peso pluma,2023
41.0,Golden Hour,jvke,2023
42.0,Religiously,bailey zimmerman,2023
43.0,Spin Bout U,drake & 21 savage,2023
44.0,Cupid,fifty fifty,2023
45.0,Search & Rescue,drake,2023
46.0,Barbie World,nicki minaj & ice spice with aqua,2023
47.0,Next Thing You Know,jordan davis,2023
48.0,Escapism,raye featuring 070 shake,2023
49.0,Un x100to,grupo frontera x bad bunny,2023
50.0,Until I Found You,stephen sanchez,2023
51.0,Shirt,sza,2023
52.0,Paint The Town Red,doja cat,2023
53.0,Made You Look,meghan trainor,2023
54.0,Wait In The Truck,hardy featuring lainey wilson,2023
55.0,All I Want For Christmas Is You,mariah carey,2023
56.0,Everything I Love,morgan wallen,2023
57.0,Chemical,post malone,2023
58.0,Heart Like A Truck,lainey wilson,2023
59.0,"Going, Going, Gone",luke combs,2023
60.0,Rockin' Around The Christmas Tree,brenda lee,2023
61.0,Dancin' In The Country,tyler hubbard,2023
62.0,Daylight,david kushner,2023
63.0,Lift Me Up,rihanna,2023
64.0,Eyes Closed,ed sheeran,2023
65.0,TQG,karol g x shakira,2023
66.0,Try That In A Small Town,jason aldean,2023
67.0,Tennessee Orange,megan moroney,2023
68.0,Jingle Bell Rock,bobby helms,2023
69.0,Princess Diana,ice spice & nicki minaj,2023
70.0,Tomorrow 2,glorilla & cardi b,2023
71.0,A Holly Jolly Christmas,burl ives,2023
72.0,Where She Goes,bad bunny,2023
73.0,Bebe Dame,fuerza regida x grupo frontera,2023
74.0,I Remember Everything,zach bryan featuring kacey musgraves,2023
75.0,I Like You (A Happier Song),post malone featuring doja cat,2023
76.0,What It Is (Block Boy),doechii featuring kodak black,2023
77.0,Nobody Gets Me,sza,2023
78.0,Rich Men North Of Richmond,oliver anthony music,2023
79.0,Super Freaky Girl,nicki minaj,2023
80.0,Dial Drunk,noah kahan with post malone,2023
81.0,What Was I Made For?,billie eilish,2023
82.0,Seven,jung kook featuring latto,2023
83.0,Wait For U,future featuring drake & tems,2023
84.0,Last Christmas,wham!,2023
85.0,Handle On You,parker mccollum,2023
86.0,Por Las Noches,peso pluma,2023
87.0,Memory Lane,old dominion,2023
88.0,Area Codes,kaliii,2023
89.0,Bury Me In Georgia,kane brown,2023
90.0,PRC,peso pluma x natanael cano,2023
91.0,What My World Spins Around,jordan davis,2023
92.0,Ain't That Some,morgan wallen,2023
93.0,Wild As Her,corey kent,2023
94.0,Peaches & Eggplants,young nudy featuring 21 savage,2023
95.0,I Wrote The Book,morgan wallen,2023
96.0,"Bzrp Music Sessions, Vol. 53",bizarrap & shakira,2023
97.0,Meltdown,travis scott featuring drake,2023
98.0,Put It On Da Floor Again,latto featuring cardi b,2023
99.0,Bloody Mary,lady gaga,2023
100.0,Watermelon Moonshine,lainey wilson,2023
1.0,Lose Control,teddy swims,2024
2.0,A Bar Song (Tipsy),shaboozey,2024
3.0,Beautiful Things,benson boone,2024
4.0,I Had Some Help,post malone featuring morgan wallen,2024
5.0,Lovin On Me,jack harlow,2024
6.0,Not Like Us,kendrick lamar,2024
7.0,Espresso,sabrina carpenter,2024
8.0,Million Dollar Baby,tommy richman,2024
9.0,I Remember Everything,zach bryan featuring kacey musgraves,2024
10.0,Too Sweet,hozier,2024
11.0,Stick Season,noah kahan,2024
12.0,Cruel Summer,taylor swift,2024
13.0,Greedy,tate mcrae,2024
14.0,Like That,"future, metro boomin & kendrick lamar",2024
15.0,Birds Of A Feather,billie eilish,2024
16.0,Please Please Please,sabrina carpenter,2024
17.0,Agora Hills,doja cat,2024
18.0,"Good Luck, Babe!",chappell roan,2024
19.0,Saturn,sza,2024
20.0,Snooze,sza,2024
21.0,Paint The Town Red,doja cat,2024
22.0,Fortnight,taylor swift featuring post malone,2024
23.0,Fast Car,luke combs,2024
24.0,Water,tyla,2024
25.0,Feather,sabrina carpenter,2024
26.0,We Can't Be Friends (Wait For Your Love),ariana grande,2024
27.0,Austin,dasha,2024
28.0,Last Night,morgan wallen,2024
29.0,Cowgirls,morgan wallen featuring ernest,2024
30.0,Pink Skies,zach bryan,2024
31.0,Thinkin' Bout Me,morgan wallen,2024
32.0,Texas Hold 'Em,beyonce,2024
33.0,Is It Over Now? (Taylor's Version) [From The Vault],taylor swift,2024
34.0,Miles On It,marshmello & kane brown,2024
35.0,I Can Do It With A Broken Heart,taylor swift,2024
36.0,Wild Ones,jessie murph & jelly roll,2024
37.0,Ain't No Love In Oklahoma,luke combs,2024
38.0,Carnival,¥$: ye & ty dolla $ign featuring rich the kid & playboi carti,2024
39.0,Houdini,eminem,2024
40.0,Wanna Be,glorilla & megan thee stallion,2024
41.0,Slow It Down,benson boone,2024
42.0,Redrum,21 savage,2024
43.0,Houdini,dua lipa,2024
44.0,Yeah Glo!,glorilla,2024
45.0,Rich Baby Daddy,drake featuring sexyy red & sza,2024
46.0,What Was I Made For?,billie eilish,2024
47.0,End Of Beginning,djo,2024
48.0,Lunch,billie eilish,2024
49.0,Never Lose Me,flo milli,2024
50.0,Lies Lies Lies,morgan wallen,2024
51.0,Type Shit,"future, metro boomin, travis scott & playboi carti",2024
52.0,Gata Only,floyymenor x cris mj,2024
53.0,Hot To Go!,chappell roan,2024
54.0,All I Want For Christmas Is You,mariah carey,2024
55.0,Get It Sexyy,sexyy red,2024
56.0,Made For Me,muni long,2024
57.0,Vampire,olivia rodrigo,2024
58.0,Whatever She Wants,bryson tiller,2024
59.0,Rockin' Around The Christmas Tree,brenda lee,2024
60.0,Pretty Little Poison,warren zeiders,2024
61.0,First Person Shooter,drake featuring j. cole,2024
62.0,Die With A Smile,lady gaga & bruno mars,2024
63.0,I Like The Way You Kiss Me,artemas,2024
64.0,Need A Favor,jelly roll,2024
65.0,Save Me,jelly roll with lainey wilson,2024
66.0,Euphoria,kendrick lamar,2024
67.0,Truck Bed,hardy,2024
68.0,Jingle Bell Rock,bobby helms,2024
69.0,Flowers,miley cyrus,2024
70.0,Where The Wild Things Are,luke combs,2024
71.0,Everybody,nicki minaj featuring lil uzi vert,2024
72.0,La Diabla,xavi,2024
73.0,Stargazing,myles smith,2024
74.0,Last Christmas,wham!,2024
75.0,I Am Not Okay,jelly roll,2024
76.0,Pour Me A Drink,post malone featuring blake shelton,2024
77.0,White Horse,chris stapleton,2024
78.0,Lil Boo Thang,paul russell,2024
79.0,Good Good,"usher, summer walker & 21 savage",2024
80.0,Act II: Date @ 8,4batz featuring drake,2024
81.0,High Road,koe wetzel & jessie murph,2024
82.0,Monaco,bad bunny,2024
83.0,IDGAF,drake featuring yeat,2024
84.0,Burn It Down,parker mccollum,2024
85.0,Fukumean,gunna,2024
86.0,Taste,sabrina carpenter,2024
87.0,Where It Ends,bailey zimmerman,2024
88.0,FTCU,nicki minaj,2024
89.0,Wildflower,billie eilish,2024
90.0,World On Fire,nate smith,2024
91.0,On My Mama,victoria monet,2024
92.0,"Yes, And?",ariana grande,2024
93.0,Exes,tate mcrae,2024
94.0,A Holly Jolly Christmas,burl ives,2024
95.0,Wind Up Missin' You,tucker wetmore,2024
96.0,Bulletproof,nate smith,2024
97.0,FE!N,travis scott featuring playboi carti,2024
98.0,The Painter,cody johnson,2024
99.0,Down Bad,taylor swift,2024
100.0,Dance The Night,dua lipa,2024
1.0,Die With A Smile,lady gaga & bruno mars,2025
2.0,Luther,kendrick lamar & sza,2025
3.0,A Bar Song (Tipsy),shaboozey,2025
4.0,Lose Control,teddy swims,2025
5.0,Birds Of A Feather,billie eilish,2025
6.0,Beautiful Things,benson boone,2025
7.0,Ordinary,alex warren,2025
8.0,I Had Some Help,post malone featuring morgan wallen,2025
9.0,APT.,rosé & bruno mars,2025
10.0,Pink Pony Club,chappell roan,2025
11.0,Love Somebody,morgan wallen,2025
12.0,Espresso,sabrina carpenter,2025
13.0,I'm The Problem,morgan wallen,2025
14.0,That's So True,gracie abrams,2025
15.0,TV Off,kendrick lamar featuring lefty gunplay,2025
16.0,Timeless,the weeknd & playboi carti,2025
17.0,Not Like Us,kendrick lamar,2025
18.0,Just In Case,morgan wallen,2025
19.0,Taste,sabrina carpenter,2025
20.0,Squabble Up,kendrick lamar,2025
21.0,30 For 30,sza & kendrick lamar,2025
22.0,Mutt,leon thomas,2025
23.0,Good News,shaboozey,2025
24.0,Nokia,drake,2025
25.0,Golden,"huntrix: ejae, audrey nuna & rei ami",2025
26.0,Wildflower,billie eilish,2025
27.0,What I Want,morgan wallen featuring tate mcrae,2025
28.0,Messy,lola young,2025
29.0,Stargazing,myles smith,2025
30.0,Love Me Not,ravyn lenae,2025
31.0,"Good Luck, Babe!",chappell roan,2025
32.0,No One Noticed,the marías,2025
33.0,All The Way,bigxthaplug featuring bailey zimmerman,2025
34.0,Too Sweet,hozier,2025
35.0,Worst Way,riley green,2025
36.0,Sailor Song,gigi perez,2025
37.0,Sorry I'm Here For Someone Else,benson boone,2025
38.0,Manchild,sabrina carpenter,2025
39.0,Anxiety,doechii,2025
40.0,I Got Better,morgan wallen,2025
41.0,Sticky,"tyler, the creator featuring glorilla, sexyy red & lil wayne",2025
42.0,Undressed,sombr,2025
43.0,I Never Lie,zach top,2025
44.0,Back To Friends,sombr,2025
45.0,Bed Chem,sabrina carpenter,2025
46.0,Sports Car,tate mcrae,2025
47.0,Mystical Magical,benson boone,2025
48.0,Whatchu Kno About Me,glorilla & sexyy red,2025
49.0,Indigo,sam barber featuring avery anna,2025
50.0,Please Please Please,sabrina carpenter,2025
51.0,DTMF,bad bunny,2025
52.0,Blue Strips,jessie murph,2025
53.0,Peekaboo,kendrick lamar featuring azchike,2025
54.0,Your Idol,saja boys,2025
55.0,High Road,koe wetzel featuring jessie murph,2025
56.0,Abracadabra,lady gaga,2025
57.0,Who,jimin,2025
58.0,Burning Blue,mariah the scientist,2025
59.0,All I Want For Christmas Is You,mariah carey,2025
60.0,Daisies,justin bieber,2025
61.0,Soda Pop,saja boys,2025
62.0,Like Him,"tyler, the creator featuring lola young",2025
63.0,Residuals,chris brown,2025
64.0,Smile,morgan wallen,2025
65.0,Last Christmas,wham!,2025
66.0,Am I Okay?,megan moroney,2025
67.0,Rockin' Around The Christmas Tree,brenda lee,2025
68.0,How It's Done,"huntrix: ejae, audrey nuna & rei ami",2025
69.0,Happen To Me,russell dickerson,2025
70.0,Baile Inolvidable,bad bunny,2025
71.0,Weren't For The Wind,ella langley,2025
72.0,I Ain't Comin' Back,morgan wallen featuring post malone,2025
73.0,Cry For Me,the weeknd,2025
74.0,Bad Dreams,teddy swims,2025
75.0,Denial Is A River,doechii,2025
76.0,BMF,sza,2025
77.0,Eoo,bad bunny,2025
78.0,I'm Gonna Love You,cody johnson & carrie underwood,2025
79.0,I Am Not Okay,jelly roll,2025
80.0,Backup Plan,bailey zimmerman & luke combs,2025
81.0,Jingle Bell Rock,bobby helms,2025
82.0,Revolving Door,tate mcrae,2025
83.0,What It Sounds Like,"huntrix: ejae, audrey nuna & rei ami",2025
84.0,Hard Fought Hallelujah,brandon lake & jelly roll,2025
85.0,Somebody Loves Me,partynextdoor & drake,2025
86.0,Liar,jelly roll,2025
87.0,Tu Boda,óscar maydon & fuerza regida,2025
88.0,After All The Bars Are Closed,thomas rhett,2025
89.0,Nuevayol,bad bunny,2025
90.0,20 Cigarettes,morgan wallen,2025
91.0,Rather Lie,playboi carti & the weeknd,2025
92.0,Free,ejae & andrew choi,2025
93.0,Takedown,"huntrix: ejae, audrey nuna & rei ami",2025
94.0,Heart Of A Woman,summer walker,2025
95.0,House Again,hudson westbrook,2025
96.0,Dark Thoughts,lil tecca,2025
97.0,No Pole,don toliver,2025
98.0,Folded,kehlani,2025
99.0,Superman,morgan wallen,2025
100.0,Loco,netón vega,2025
