rank,artist
1,Post Malone
2,Juice WRLD
3,Taylor Swift
4,Drake
5,Luke Combs
6,DaBaby
7,Lil Baby
8,The Weeknd
9,Pop Smoke
10,Billie Eilish
11,Lil Uzi Vert
12,Roddy Ricch
13,YoungBoy Never Broke Again
14,Harry Styles
15,Bad Bunny
16,Rod Wave
17,Eminem
18,BTS
19,Ed Sheeran
20,Travis Scott
21,Khalid
22,Polo G
23,XXXTENTACION
24,A Boogie Wit da Hoodie
25,The Beatles
26,Summer Walker
27,Trippie Redd
28,Gunna
29,Young Thug
30,Queen
31,Ariana Grande
32,Justin Bieber
33,Mac Miller
34,Kendrick Lamar
35,Kane Brown
36,Lewis Capaldi
37,Halsey
38,Lady Gaga
39,Morgan Wallen
40,NF
41,Doja Cat
42,Jhene Aiko
43,Lizzo
44,Fleetwood Mac
45,JACKBOYS
46,Blake Shelton
47,Chris Brown
48,Elton John
49,Moneybagg Yo
50,Future
51,Michael Jackson
52,Megan Thee Stallion
53,Tory Lanez
54,Camila Cabello
55,Imagine Dragons
56,Bob Marley And The Wailers
57,Dua Lipa
58,Creedence Clearwater Revival
59,Jason Aldean
60,Lil Wayne
61,Lil Durk
62,Lil Tjay
63,Chris Stapleton
64,Tom Petty And The Heartbreakers
65,Journey
66,Lil Mosey
67,Mustard
68,Cardi B
69,Lil Nas X
70,YNW Melly
71,Frank Sinatra
72,2Pac
73,Maren Morris
74,Lauren Daigle
75,AC/DC
76,Shawn Mendes
77,J. Cole
78,Eagles
79,Tones And I
80,Dan + Shay
81,Jack Harlow
82,Elvis Presley
83,Lil Tecca
84,Sam Hunt
85,Selena Gomez
86,Guns N' Roses
87,SZA
88,Bruno Mars
89,Nirvana
90,Pentatonix
91,Adele
92,Billy Joel
93,The Notorious B.I.G.
94,Don Toliver
95,The Beach Boys
96,G Herbo
97,Frank Ocean
98,"Tyler, The Creator"
99,Old Dominion
100,Meek Mill